StartSplit,StartScore,StopSplit,StopScore,SplitSize,PathLength
{ 4 6 7 9 },-0.0167032,{ 0 4 7 8 },-0.0255352,4,2
{ 0 4 6 7 8 },-0.0211671,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 4 5 6 8 },-0.0175583,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 4 5 7 },-0.0180603,{ 0 4 7 8 },-0.0255352,4,2
{ 0 2 5 6 },-0.0193775,{ 2 3 5 6 },-0.0254904,4,1
{ 0 2 4 5 },-0.0162571,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 5 7 },-0.0188035,{ 0 4 7 8 },-0.0255352,4,2
{ 0 3 4 6 },-0.0157448,{ 2 3 5 6 },-0.0254904,4,2
{ 2 5 6 9 },-0.0247221,{ 2 3 5 6 },-0.0254904,4,1
{ 2 6 8 9 },-0.0176808,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 2 3 9 },-0.0192135,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 2 5 6 9 },-0.0211588,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 2 5 7 9 },-0.0161715,{ 0 1 4 7 8 },-0.0285387,5,2
{ 5 6 7 },-0.0186828,{ 5 6 9 },-0.023584,3,1
{ 0 3 7 8 },-0.0189108,{ 0 4 7 8 },-0.0255352,4,1
{ 0 7 8 },-0.0232129,{ 4 7 8 },-0.025536,3,1
{ 0 2 7 },-0.0165757,{ 4 7 8 },-0.025536,3,2
{ 3 4 7 },-0.0174363,{ 4 7 8 },-0.025536,3,1
{ 1 5 6 },-0.0186186,{ 5 6 9 },-0.023584,3,1
{ 2 4 7 9 },-0.0171535,{ 0 4 7 8 },-0.0255352,4,2
{ 1 2 },-0.0150263,{ 2 3 },-0.0236405,2,1
{ 2 3 4 9 },-0.0197931,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 4 9 },-0.0165858,{ 2 3 5 6 },-0.0254904,4,3
{ 0 3 5 6 8 },-0.0170298,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 5 },-0.0206573,{ 5 6 },-0.0245457,2,1
{ 2 4 5 7 },-0.0166771,{ 0 4 7 8 },-0.0255352,4,2
{ 0 3 6 8 },-0.0156366,{ 2 3 5 6 },-0.0254904,4,2
{ 2 7 8 9 },-0.0176193,{ 0 4 7 8 },-0.0255352,4,2
{ 4 6 7 8 },-0.0203609,{ 0 4 7 8 },-0.0255352,4,1
{ 4 5 6 7 },-0.0179571,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 4 7 9 },-0.0209459,{ 0 1 4 7 8 },-0.0285387,5,1
{ 2 4 5 },-0.0170027,{ 5 6 9 },-0.023584,3,2
{ 1 3 7 8 },-0.0187645,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 7 8 9 },-0.0214837,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 1 5 8 9 },-0.0174912,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 2 3 9 },-0.0196807,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 2 9 },-0.0176151,{ 2 3 5 6 },-0.0254904,4,3
{ 1 7 8 },-0.0229544,{ 4 7 8 },-0.025536,3,1
{ 1 7 9 },-0.0165148,{ 4 7 8 },-0.025536,3,2
{ 1 2 3 7 },-0.0167875,{ 2 3 5 6 },-0.0254904,4,3
{ 3 7 },-0.0154392,{ 7 8 },-0.0250616,2,1
{ 0 1 3 7 9 },-0.017486,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 8 9 },-0.017951,{ 4 7 8 },-0.025536,3,1
{ 0 1 8 },-0.0223391,{ 4 7 8 },-0.025536,3,2
{ 0 1 4 },-0.0222798,{ 4 7 8 },-0.025536,3,3
{ 0 3 4 },-0.0164522,{ 4 7 8 },-0.025536,3,4
{ 1 5 6 9 },-0.0197241,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 5 9 },-0.0179279,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 4 8 },-0.0184992,{ 0 4 7 8 },-0.0255352,4,1
{ 0 1 2 5 },-0.0174349,{ 2 3 5 6 },-0.0254904,4,2
{ 3 4 5 9 },-0.0180785,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 3 },-0.0182527,{ 2 3 9 },-0.0237436,3,1
{ 2 5 9 },-0.0217384,{ 2 3 9 },-0.0237436,3,1
{ 1 3 5 9 },-0.0185499,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 2 6 },-0.0168167,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 3 7 },-0.0169319,{ 2 3 5 6 },-0.0254904,4,3
{ 0 1 6 7 9 },-0.0171568,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 3 5 6 9 },-0.0214231,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 3 6 7 9 },-0.0162326,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 3 },-0.0148356,{ 2 3 },-0.0236405,2,1
{ 2 7 8 },-0.0189448,{ 4 7 8 },-0.025536,3,1
{ 0 5 6 9 },-0.0197225,{ 2 3 5 6 },-0.0254904,4,2
{ 0 6 7 9 },-0.0158634,{ 2 3 5 6 },-0.0254904,4,3
{ 1 2 4 8 },-0.0183528,{ 0 4 7 8 },-0.0255352,4,2
{ 1 6 7 9 },-0.015863,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 3 5 },-0.0190679,{ 2 3 5 6 },-0.0254904,4,1
{ 0 2 5 8 },-0.0158549,{ 2 3 5 6 },-0.0254904,4,2
{ 1 2 7 },-0.0163196,{ 4 7 8 },-0.025536,3,2
{ 0 1 4 5 8 },-0.0205476,{ 0 1 4 7 8 },-0.0285387,5,1
{ 5 6 8 },-0.0185089,{ 5 6 9 },-0.023584,3,1
{ 2 3 6 },-0.022689,{ 2 3 9 },-0.0237436,3,1
{ 1 2 4 9 },-0.0165857,{ 2 3 5 6 },-0.0254904,4,3
{ 0 1 5 7 8 },-0.0210823,{ 0 1 4 7 8 },-0.0285387,5,1
{ 0 1 3 5 7 },-0.0168271,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 5 7 8 },-0.0189673,{ 0 4 7 8 },-0.0255352,4,1
{ 0 2 8 9 },-0.0161851,{ 2 3 5 6 },-0.0254904,4,3
{ 0 1 2 6 8 },-0.0164933,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 5 6 8 },-0.0171361,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 9 },-0.0169896,{ 2 3 9 },-0.0237436,3,1
{ 0 6 9 },-0.0165135,{ 5 6 9 },-0.023584,3,1
{ 2 4 9 },-0.0173637,{ 2 3 9 },-0.0237436,3,1
{ 0 2 3 4 6 },-0.0171644,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 3 5 6 7 },-0.0170307,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 5 7 9 },-0.0165902,{ 0 4 7 8 },-0.0255352,4,2
{ 2 3 6 8 },-0.0185926,{ 2 3 5 6 },-0.0254904,4,1
{ 1 5 8 },-0.0165648,{ 4 7 8 },-0.025536,3,2
{ 1 2 5 6 },-0.0192346,{ 2 3 5 6 },-0.0254904,4,1
{ 1 2 5 7 },-0.0158407,{ 2 3 5 6 },-0.0254904,4,2
{ 0 8 9 },-0.0167978,{ 4 7 8 },-0.025536,3,2
